estimate,ci_lower,ci_upper,confidence_level,scenario,time_window,metric
0.04831934525216075,0.00564110009231962,0.10143888521316968,0.95,equal_opportunity_drift,0,selection_parity_gap
0.058293970547374285,0.008345362792456004,0.11485459153597255,0.95,equal_opportunity_drift,1,selection_parity_gap
0.0176993609335927,0.0013133202985603461,0.07240708460076702,0.95,equal_opportunity_drift,2,selection_parity_gap
0.07956413730175732,0.023032945779491318,0.13325515935705506,0.95,equal_opportunity_drift,3,selection_parity_gap
0.13460424925393083,0.08620923386825423,0.1917294330969977,0.95,equal_opportunity_drift,4,selection_parity_gap
0.09741594887468741,0.04149550401052823,0.14968067583088676,0.95,equal_opportunity_drift,5,selection_parity_gap
0.14037687792480796,0.09236325790770362,0.19196227986744918,0.95,equal_opportunity_drift,6,selection_parity_gap
0.23325674883525815,0.17860449404464024,0.28878135228228935,0.95,equal_opportunity_drift,7,selection_parity_gap
0.031938279963556415,0.0014696628769759995,0.08715065597403511,0.95,false_positive_rate_drift,0,selection_parity_gap
0.057627118644067776,0.008377003586322804,0.11400597010886082,0.95,false_positive_rate_drift,1,selection_parity_gap
0.05295915532092249,0.0038398829079493066,0.10678547746731457,0.95,false_positive_rate_drift,2,selection_parity_gap
0.050170150704910044,0.004153044180714183,0.10334297949265055,0.95,false_positive_rate_drift,3,selection_parity_gap
0.02708563263286362,0.0015566767502370724,0.08373904109398589,0.95,false_positive_rate_drift,4,selection_parity_gap
0.061147162096093166,0.007689865864600011,0.12154135327479608,0.95,false_positive_rate_drift,5,selection_parity_gap
0.03878721205453878,0.0019323922301938273,0.09346046268333723,0.95,false_positive_rate_drift,6,selection_parity_gap
0.05989155073558822,0.00964325033875342,0.10834920566152467,0.95,false_positive_rate_drift,7,selection_parity_gap
0.08786208735652618,0.028050708520497743,0.1427938476485746,0.95,multiple_testing_false_alarm_control,0,selection_parity_gap
0.05777286414293492,0.00601479679904738,0.11780826385598132,0.95,multiple_testing_false_alarm_control,1,selection_parity_gap
0.03359731554809875,0.000702281809399876,0.08550107723882837,0.95,multiple_testing_false_alarm_control,2,selection_parity_gap
0.08948882644185735,0.032579581491067926,0.14322630553706867,0.95,multiple_testing_false_alarm_control,3,selection_parity_gap
0.0438122340765526,0.0025920596470954413,0.10331112895500456,0.95,multiple_testing_false_alarm_control,4,selection_parity_gap
0.07347225356704029,0.015146812304229849,0.13067082244042427,0.95,multiple_testing_false_alarm_control,5,selection_parity_gap
0.025901151162273872,0.0013469153809590614,0.08037110579105318,0.95,multiple_testing_false_alarm_control,6,selection_parity_gap
0.09810633001422475,0.041699485210025554,0.15192876937865582,0.95,multiple_testing_false_alarm_control,7,selection_parity_gap
0.05391171013011253,0.004218219710199275,0.10621285081415062,0.95,no_drift_baseline,0,selection_parity_gap
0.06925173129328233,0.017117392475546056,0.1252664994888092,0.95,no_drift_baseline,1,selection_parity_gap
0.06447311397806443,0.012991720025820067,0.11922911821826578,0.95,no_drift_baseline,2,selection_parity_gap
0.05719620247889107,0.006751053171068451,0.11117677469292583,0.95,no_drift_baseline,3,selection_parity_gap
0.06774537695590327,0.017677975528364885,0.12059898081688832,0.95,no_drift_baseline,4,selection_parity_gap
0.08946766075178614,0.03303659792287064,0.14226144635146665,0.95,no_drift_baseline,5,selection_parity_gap
0.06971713301393895,0.01631122427655239,0.11710549359933331,0.95,no_drift_baseline,6,selection_parity_gap
0.10040592466638332,0.03708830325945319,0.15520380543542536,0.95,no_drift_baseline,7,selection_parity_gap
0.11994805902585653,0.06835127308033548,0.1752405147153937,0.95,selection_parity_drift,0,selection_parity_gap
0.06237284743916127,0.007498256542696541,0.12199921728666538,0.95,selection_parity_drift,1,selection_parity_gap
0.04975578277461923,0.0068829749770169335,0.10211367270380378,0.95,selection_parity_drift,2,selection_parity_gap
0.09229397401601708,0.03782810979066739,0.14585546384605896,0.95,selection_parity_drift,3,selection_parity_gap
0.09513756166940751,0.039573490430600274,0.15347145384011102,0.95,selection_parity_drift,4,selection_parity_gap
0.16216711713088094,0.11005441764082419,0.21089499319014327,0.95,selection_parity_drift,5,selection_parity_gap
0.25934272352651866,0.20811955044841293,0.3102911739131855,0.95,selection_parity_drift,6,selection_parity_gap
0.2682725622834516,0.22092110356938294,0.32152832186228864,0.95,selection_parity_drift,7,selection_parity_gap
0.011251580278128948,0.0017835255554585169,0.13675865015155259,0.95,small_subgroup_drift,0,selection_parity_gap
0.13416075650118203,0.021042619479397433,0.23848897715089618,0.95,small_subgroup_drift,1,selection_parity_gap
0.03514538558786351,0.0032209518979650683,0.1492014825779741,0.95,small_subgroup_drift,2,selection_parity_gap
0.04979518689196111,0.0027351445627305333,0.14936298131175513,0.95,small_subgroup_drift,3,selection_parity_gap
0.21406205167230133,0.11097292888579616,0.32025900406607377,0.95,small_subgroup_drift,4,selection_parity_gap
0.23512906846240178,0.13646851063025442,0.33507019490140566,0.95,small_subgroup_drift,5,selection_parity_gap
0.24815902833581432,0.13992249903336584,0.3418463429085005,0.95,small_subgroup_drift,6,selection_parity_gap
0.36750948166877373,0.3028473755279355,0.43071070733412703,0.95,small_subgroup_drift,7,selection_parity_gap
