true_drift,rule,detection_rate,mean_alert_windows,median_first_alert_window
0.0,adjusted_p_only,0.0625,0.0625,3.0
0.0,adjusted_p_plus_materiality,0.0625,0.0625,3.0
0.0,adjusted_p_plus_materiality_plus_persistence,0.0,0.0,
0.0,effect_size_only,0.9875,3.0775,1.0
0.0,raw_p_only,0.3325,0.3675,3.0
0.02,adjusted_p_only,0.075,0.0925,4.5
0.02,adjusted_p_plus_materiality,0.075,0.0925,4.5
0.02,adjusted_p_plus_materiality_plus_persistence,0.0075,0.0075,7.0
0.02,effect_size_only,0.9875,3.24,1.0
0.02,raw_p_only,0.4175,0.535,3.0
0.03,adjusted_p_only,0.0925,0.1025,4.0
0.03,adjusted_p_plus_materiality,0.0925,0.1025,4.0
0.03,adjusted_p_plus_materiality_plus_persistence,0.005,0.005,6.5
0.03,effect_size_only,0.9925,3.425,1.0
0.03,raw_p_only,0.495,0.6175,4.0
0.05,adjusted_p_only,0.255,0.3175,6.0
0.05,adjusted_p_plus_materiality,0.255,0.3175,6.0
0.05,adjusted_p_plus_materiality_plus_persistence,0.0275,0.03,7.0
0.05,effect_size_only,0.99,4.0975,1.0
0.05,raw_p_only,0.6825,1.06,5.0
0.08,adjusted_p_only,0.6425,1.0875,6.0
0.08,adjusted_p_plus_materiality,0.6425,1.0875,6.0
0.08,adjusted_p_plus_materiality_plus_persistence,0.1925,0.24,7.0
0.08,effect_size_only,1.0,4.95,1.0
0.08,raw_p_only,0.925,1.9875,5.0
0.1,adjusted_p_only,0.85,1.8425,5.0
0.1,adjusted_p_plus_materiality,0.85,1.8425,5.0
0.1,adjusted_p_plus_materiality_plus_persistence,0.43,0.6475,6.0
0.1,effect_size_only,1.0,5.3425,1.0
0.1,raw_p_only,0.99,2.75,4.0
0.15,adjusted_p_only,1.0,3.47,4.0
0.15,adjusted_p_plus_materiality,1.0,3.47,4.0
0.15,adjusted_p_plus_materiality_plus_persistence,0.945,2.1225,6.0
0.15,effect_size_only,1.0,5.8925,1.0
0.15,raw_p_only,1.0,3.91,4.0
